"Listings Manager","Administrador de anuncios"
"Edit listing","Editando producto"
"Shop Sections","Secciones de la tienda"
"Edit Shop Section","Editando secciones de la tienda"
"Shipping Profiles","Perfiles de la tienda"
"Edit Shipping Profile","Editando perfiles de la tienda"
"Queue to Etsy","Encolar a Etsy"
"Shipping Profile Information","Información de perfil de envío"
"Shipping ID","ID envío"
"This value is generated by Etsy","Valor generado por Etsy"
"Title","Título"
"Processing Time","Tiempo de proceso"
"Min","Min"
"Max","Max"
"Frequency","Frecuencia"
"country","País"
"Shipping entries","Lugares de envío"
"Save shipping profile","Guardar perfil de envío"
"Delete shipping profile","Borrar perfil de envío"
"Add a shipping profile","Adicionar una perfil de envío"
"Add shop section (Category)","Adicionar sección de la tienda"
"Shop section information","Información de sección del shop"
"ID Shop Section","ID sección"
"Save shop section","Guardar sección de la tienda"
"Delete shop section","Borrar sección de la tienda"
"About information","Acerca del producto"
"Who Made it?","Quien lo hizo?"
"What is it?","Que es?"
"A finished product","Un producto finalizado"
"A supply or tool to make things","Un suministro o herramienta para hacer cosas"
"When was it made?","Cuando fue hecho?"
"Category information","Información de categoria"
"Category","Categoría"
"Sub Sub Category","Sub Sub Categoría"
"Search information","Información de Busqueda"
"Recipient","Recipiente"
"Occasion","Ocasión"
"Materials","Materiales"
"Shipping and Shop information","Información de envío y de la tienda"
"Shop section","Seccion del shop"
"Shipping profile","Perfil de envío"
"Save listing","Guardar producto"
"Delete listing","Borrar producto"
"Add a listing","Adicionar un producto"
"Synced","Sincronizado"
"In queue","En cola"
"Failed","Fallido"
"Description","Descripción"
"Quantity","Cantidad"
"Status","Estado"
"Update attributes","Actualizar atributos"
"Send to Etsy","Enviar a Etsy"
"You are about to list product(s) on Etsy. If you have filled out all the required information please proceed.","Esta seguro?"
"Are you sure?","Esta seguro?"
"This option lets you choose if this product will be synchronised with Etsy","Esta opcion le permite configurar si este producto sera sincronizado con Etsy"
"Authorize","Autorizar"
"Authorized","Autorizado"
"Disallow","Desautorizar"
"Please Select","Por favor selecciona"
"Must configure Etsy's language","Debes configurar el lenguaje en Etsy"
"Successfully saved","Guardado satisfactoriamente"
"Successfully deleted","Borrado satisfactoriamente"
"Successfully authorised","Autorizado correctamente"
"Successfully disallowed","Desautorizado correctamente"
"Successfully synchronized","Sincronizado correctamente"
"Shop section does not exist","Seccion de la tienda no existe"
"First you must authorise access to Etsy under System > Configuration > MagetSync","Primero, debes configurar la conexion con etsy en Sistema/Magetsy/Configuracion"
"This value must be between 1 to 10","Este valor es entre 1 a 10"
"Ships from","País de envío"
"weeks","semanas"
"business days","dias de negocio"
"You must fill in your Secret Token under System > Configuration > MagetSync","Debes llenar el campo token del cliente"
"You must fill your shop name","Debes llenar el nombre de la tienda"
"This shop has been already authorized","Esta tienda ya ha sido autorizada"
"Something went wrong","Algo fue mal"
"Sync Now","Sincronizar  ahora"
"Source","Fuente"
"There is a custom property with length higher than allowed (20)","Hay una propiedad customizada con una longitud mas larga de lo permitido (20)"
"Listing does not exist","Producto no existe"
"Listing Editor","Editor de Anuncios"
"Shipping profile does not exist","Perfil no existe"
"Must select least one destination","Debes seleccionar al menos un destino"
"ReSync","Re-sincronizar"
"MagetSync Licensing Service: You have 1 day left in your trial/subscription","Servicio de Licencias de MagetSync"
"You have 1 day left in your trial/subscription","Falta un dia para que se termine tu prueba/suscripción."
"http://www.magetsync.com","http://www.magetsync.com"
"You can not delete this listing because it is already synchronized","Tu no puedes borrar esta lista porque ya esta sincronizada."
"Token which you received after registration on Magetsync\'s website.","Token que recibiste despues de registrarte en el sitio de Magetsync."
"Auto Sync Product Attributes","Auto sincronizar atributos de productos"
Automatically renew listing,Renovar producto automaticamente
"Select the default language of your Etsy store.","Selecciona el lenguaje de tu tienda Etsy."
"Synchronize attribute updates automatically.","Sincronizar actualizaciones de atributos automaticamente."
"Exclude Product Images","Excluir Imagenes de Productos"
"This option allows you to upload product images with status \'excluded\'.","Esta opcion te habilita para subir imagenes de productos con estado 'Excluido'."
"<div class=\'box\'>Please fill out details below and save configuration before authorizing.</div>","<div class='box'>Por favor llene los detalles abajo y guarde la configuracion antes de autorizar.</div>"
"Input Etsy shop Id or shop name.","Introducir el ID o el nombre de la tienda Etsy (el nombre no debe tener espacios o puntuacion)"
"Subscription","Suscripcion"
"Language","Lenguaje"
"Shop ID","Tienda ID"
"Secret Token","Token Secreto"
"Configuration","Configuración"
"General Configuration","Configuración General"
"Subscription","Suscripción"
"Catalog Specific Options","Opciones Especificas del Catalogo"
"Sub Category","Sub Categoria"
"Enable \'Source\' Column in Order Grid","Habilitar columna 'Fuente' en la lista de ordenes"
"Set a Prefix for Your Etsy Orders","Establecer un prefijo para las ordenes de Etsy"
"Order Number Prefix","Prefijo Numero de Orden"
"Version","Versión"
"e.g. <em>etsy_</em>, this will appear as <em>etsy_[ordernumber]</em>","ejemplo. <em>etsy_</em>, Esto aparecerá como <em>etsy_[numero_orden]</em>"
"Sales Orders","Ordenes de Venta"
"There\'s no note from buyer.","No hay notas del comprador."
"Prepend Global Note","Nota Global Previa"
"Append Global Note","Nota Global Posterior"
"Global Section","Sección Global"
"Note","Nota"
"Templates","Plantillas"
"This text will be added at the beginning of the Etsy listing description field","Este texto sera adicionado al comienzo del campo descripción de los productos de Etsy"
"This text will be added at the end of the Etsy listing description field","Este texto será adicionado al final del campo descripción de los productos de Etsy"
"Append Global Note 1","Nota Global Posterior 1"
"Append Global Note 2","Nota Global Posterior 2"
"Prepend Global Note 1","Nota Global Previa 1"
"Prepend Global Note 2","Nota Global Previa 2"
"Global Notes 1","Notas Globales 1"
"Global Notes 2","Notas Globales 2"
"Global Options","Opciones Globales"
"Add additional information to your product listings by creating re-usable notes. These could appear before or after each product description. Useful for general information about your shop, shipping info, or other policies, etc.","Adicionar información adicional a tus productos creando notas reusables. Estas podrian aparecer antes o despues de cada descripcion de producto. Util para información general acerca de tu tienda, información de envío, o otras politicas, etc. <a href=""https://merchant-e.zendesk.com/hc/en-us/articles/207288977-Adding-Notes-Globally-to-your-Etsy-Listings"" title=""Que es esto?"" target=""_blank"">Ver ayuda</a>"
"Style","Estilo"
"Import all completed Etsy orders", "Importar todas las ordernes anteriores de Etsy"